	ko1	ko2	ko3	wt1	wt2	wt3
1416660_at	9.33	9.35	10.65	10.96	10.69	9.16
1422075_at	2.86	2.92	3.78	4.56	4.58	2.81
1439154_at	7.08	7.01	8.21	8.86	8.68	7.17
1457741_at	2.75	2.78	3.9	4.6	4.24	2.7
1455205_a_at	7.59	7.7	9	9.35	9.16	7.57
1451253_at	5.24	5.46	6.82	7.49	7.4	5.71
1459432_at	2.95	2.8	4.21	4.76	4.67	3
1430579_at	3.76	3.82	4.87	5.59	5.53	3.73
1452004_at	2.9	2.94	4.23	4.58	4.63	2.96
1453407_at	2.86	2.89	4.4	4.61	4.83	3.11
1458459_a_at	4.46	4.59	5.52	6.05	5.8	4.29
1435639_at	2.76	2.67	3.86	4.46	4.4	2.57
1434830_at	6.85	6.6	7.72	8.88	9.1	7.14
1448339_at	9.34	9.17	10.43	11.21	11.4	9.42
1429500_at	2.51	2.55	3.94	4.4	4.43	2.52
1454457_at	3.88	3.79	5.11	5.5	5.52	3.67
1416028_a_at	10.13	10.07	11.32	11.78	11.71	10.04
1439837_at	3.18	2.96	4.36	5.14	4.91	3.36
1430721_at	2.63	2.62	3.79	4.47	4.39	2.59
1436056_at	5.52	5.71	6.98	7.41	7.31	5.56
1426372_a_at	6.87	6.84	8.2	8.61	8.57	6.82
1452005_at	5.27	5.36	6.42	6.74	7.03	5.35
1432154_at	2.28	2.51	3.72	4.36	4.11	2.63
1417680_at	2.81	2.81	3.94	4.53	4.36	2.6
1440852_at	4.63	4.99	5.93	6.15	5.34	4.76
1440397_at	2.58	2.38	3.49	3.94	4.15	2.23
1419529_at	4.78	4.78	6.12	6.37	6.41	4.77
1419925_s_at	7.98	7.85	8.92	9.5	9.48	7.71
1426117_a_at	5.79	5.96	7.01	7.65	7.49	5.68
1442320_at	4.43	4.6	5.78	6.22	6.08	4.18
1441614_at	2.91	3.19	4.03	4.74	4.71	2.98
1424296_at	7.1	7.42	8.71	8.52	8.65	6.82
1447674_at	3.11	2.86	4.19	4.85	4.77	2.98
1429256_at	3.37	3.33	4.5	5.01	5.06	3.19
1426384_a_at	10.19	10.32	11.4	11.94	12	10.2
1440925_at	4.11	3.87	5.27	5.55	5.68	3.74
1455276_x_at	4.41	4.51	5.7	6.28	6.27	4.52
1451877_at	2.86	2.77	4.01	4.55	4.38	2.66
1457465_at	2.78	2.87	4.19	4.53	4.56	2.87
1417244_a_at	6.4	5.66	6.67	8.44	7.47	6.41
1428510_at	4.73	5.2	6.62	6.75	6.57	4.67
1431003_a_at	7.31	7.32	8.53	9.13	9.09	7.36
1429451_at	5.67	5.51	6.72	7.39	7.21	5.61
1430172_a_at	4.95	4.06	5.67	6.82	6.2	4.31
1460570_at	2.53	2.63	3.89	4.4	4.38	2.92
1418679_at	6.05	6.88	7.95	8.93	10.31	7.79
1431762_at	4.27	4.09	5.6	6.01	6.07	4.1
1443480_at	4.37	4.09	5.5	6.14	6.16	4.36
1418873_at	3.32	3.47	4.61	5.29	4.92	3.33
1446999_at	2.92	2.62	3.98	4.65	4.42	2.78
1426620_at	4.46	4.72	5.66	6.47	6.71	4.66
1421347_at	2.88	2.94	4.2	4.63	4.8	2.89
1417684_at	8.25	8.26	9.44	10.21	10.06	8.52
1452606_at	5.63	5.81	7.05	7.92	7.19	5.92
1455636_at	2.81	2.8	3.93	4.46	4.58	2.76
1427517_at	2.57	2.5	3.75	4.39	4.33	2.44
1438883_at	2.27	2.2	3.4	4.15	4.15	2.27
1459151_x_at	7.92	7.98	9.11	10	9.38	8.12
1423209_at	3.65	3.66	5.03	5.48	5.28	3.5
1438970_x_at	2.18	2.15	3.49	4.09	3.95	2.25
1429097_at	3.46	3.66	4.66	5.26	5.37	3.52
1439064_at	3.96	4.12	5.36	5.83	5.75	4.11
1418632_at	5.74	5.82	6.54	7.37	7.51	5.59
1436803_a_at	10.16	10.18	11.48	11.88	11.84	10.15
1434103_at	7.11	7.27	8.43	8.98	9.01	7.32
1423476_at	2.75	2.89	4.11	4.52	4.48	2.71
1459498_at	2.77	2.54	3.85	4.39	4.52	2.66
1431387_at	2.49	2.49	3.73	4.13	3.98	2.38
1444505_at	3.95	3.98	5.17	5.72	5.71	4.08
1437484_at	5.29	5.23	6.48	7.28	6.91	5.3
1456566_x_at	8.42	8.54	9.85	10.32	10.2	8.47
1442943_at	3.54	3.57	4.9	5.17	5.35	3.61
1431888_s_at	2.75	2.9	3.69	4.2	4.31	2.61
1445429_at	3.01	3.07	4.42	4.82	4.8	3.15
1419728_at	2.32	2.54	3.78	4.09	3.95	2.35
1449639_at	3.79	3.83	4.88	5.41	5.51	3.7
1458240_at	2.46	2.48	3.5	4.05	4.07	2.44
1459545_at	4.03	3.8	5.12	5.6	5.59	4.01
1438867_at	3.83	3.77	4.66	5.41	5.36	3.62
1458496_at	3.16	2.84	4.15	4.51	4.49	2.94
1421945_a_at	7.72	7.91	9.07	9.32	9.1	7.63
1449901_a_at	4.11	4.01	5.02	5.72	5.7	4
1459074_at	3.14	3	4.15	4.72	4.64	2.86
1431637_at	2.84	2.97	4.12	4.73	4.78	3.04
1436254_at	3.94	4.37	5.2	5.79	5.89	3.95
1446769_at	4.15	4.25	5.21	6.67	6.23	4.55
1423029_at	3.18	3.22	4.79	5.1	4.79	3.27
1447749_at	2.77	2.92	4.11	4.6	4.58	2.97
1452014_a_at	3.91	3.89	5.2	5.56	5.64	3.79
1448621_a_at	6.58	6.76	7.87	8.63	8.65	6.75
1425196_a_at	6.36	6.34	7.59	8.09	8.04	6.35
1450224_at	2.97	2.76	4.36	4.95	4.67	2.88
1436128_at	3.59	3.48	4.92	5.32	5.29	3.38
1454628_at	4.54	4.61	6.13	6.54	6.56	4.84
1449838_at	2.12	2.12	3.44	3.93	3.91	2.13
1426420_at	3.56	3.5	4.78	5.55	5.34	3.71
1431939_a_at	7.61	7.91	8.98	9.31	9.12	7.36
1452438_s_at	5.82	6.32	7.7	8.02	8.06	6.25
1459477_at	2.59	2.7	3.93	4.32	4.33	2.6
1426574_a_at	7.44	7.11	8.49	8.9	9.02	7.22
1423515_at	2.4	2.4	3.66	4.17	4.11	2.37
1422838_at	2.55	2.62	3.78	4.34	4.66	2.53
1444420_at	3.18	3.41	4.26	5.08	5.35	3.2
1451062_a_at	3.53	3.71	4.67	5.21	5.2	3.55
1450398_at	5.53	5.31	7.16	7.02	6.99	5.32
1447453_x_at	2.58	2.5	3.66	4.27	4.19	2.46
1434384_at	5.95	5.79	7.24	8.34	8.31	6.45
1422652_at	2.5	2.56	3.71	4.54	4.21	2.33
1450621_a_at	3.01	2.96	4.02	4.63	4.57	2.73
1432965_at	3.27	3.11	4.43	5.14	4.95	3.17
1420832_at	4.95	4.79	6.2	6.72	6.78	4.81
1454872_at	7.85	8.09	9.16	9.7	9.72	7.87
1420724_at	3.23	3.08	4.53	4.89	4.84	3.07
1422817_at	3.91	4.02	5.14	6.01	5.89	4.09
1446580_at	3.23	3.19	4.46	5.03	4.78	3.1
1451334_at	6.82	7.02	8.18	8.78	8.73	6.91
1416486_at	9.49	9.55	10.81	11.29	11.15	9.42
1450643_s_at	5.96	6.04	6.97	7.01	6.93	5.49
1416621_at	7.58	7.61	8.76	9.4	9.34	7.58
1429604_at	2.75	2.78	3.99	4.58	4.48	2.71
1447407_at	3.1	3.13	4.25	4.88	4.61	2.95
1440748_at	3.04	3.02	4.02	4.75	4.77	2.91
1424621_at	6.96	6.82	8.02	8.84	8.63	7.07
